id,title,description,image_prompt,tags,categories,price,player_count_min,player_count_max,play_time_minutes,publisher,designer,release_year,image_url,created_at,updated_at,description_vector
501,"Tatari: Harbor","Part campaign and part systems puzzle, Tatari: Harbor asks 1–3 players players to master Eurogame priorities under attritional pressure. Its Eurogame framework encourages risky pivots, especially once table politics reshape priorities. Action windows stay short, but consequence chains run long, especially in sessions around 85 minutes where adaptation beats scripted play. Negotiation matters more than it first appears; temporary coalitions routinely form, fracture, and reform inside a single chapter. Few designs blend Eurogame and Engine Building this smoothly while remaining approachable across varied player counts.",,"Engine Building|Cards",Eurogame,33.73,1,6,76,"Arcana Works","Akira Flynn",2016,/images/fixtures/game_0501.png,2025-11-24T04:55:17+00:00,2026-03-26T10:29:41+00:00,"-0.6237,-0.7186,-0.8255,-0.6172,0.1141,-0.6666,0.4079,0.2189"
502,"Thrilling Odyssey","Built around Abstract systems, Thrilling Odyssey pushes Engine Building choices across 10 linked sessions and rewards tables that enjoy city-building tension. Your group manages risk-loaded economies while chasing milestone bonuses; by chapter 6 the board can contain over 12 modular tiles. Only adaptable crews master Thrilling Odyssey, where a shared market board rewards temporary cooperation and long-term planning matter as much as tactical brilliance.",,"Engine Building|Solo",Abstract,68.03,2,9,104,"Clockwork Labs","Akira Flynn",1991,/images/fixtures/game_0502.png,2025-11-16T08:45:32+00:00,2026-03-26T10:29:41+00:00,"-0.544,-0.2618,0.3848,-0.9696,-0.2123,0.8864,-0.7128,-0.4496"
503,"Harvest against Peacocks","Harvest against Peacocks blends Party structure with Tile Laying chaos, delivering 111-minute arcs where every decision compounds into later chapters. Negotiation matters more than it first appears; temporary coalitions routinely form, fracture, and reform inside a single chapter. Map states remain highly legible despite scale; by late game, up to 22 tiles and layered markers support deep positional planning. Only adaptable crews master Harvest against Peacocks, where discarded cards return as global events and long-term planning matter as much as tactical brilliance.",,"Legacy|Tile Laying",Party,38.98,1,10,170,"Nimbus Games","Lena Ortiz",2006,/images/fixtures/game_0503.png,2026-03-25T02:52:55+00:00,2026-03-26T10:29:41+00:00,"-0.7006,-0.826,0.0333,0.0318,-0.6775,0.4931,0.2573,0.654"
504,"Sunken Voyage","At its core, Sunken Voyage is a Family design where Solo, Campaign and Cards mechanisms collide with programmed actions pacing for 2–5 players groups. Economy rails are intentionally unstable: once players trigger threshold events, 9 new scoring hooks reshape optimal lines. Only adaptable crews master Sunken Voyage, where discarded cards return as global events and long-term planning matter as much as tactical brilliance.",,Solo|Campaign|Cards,Family,77.51,4,9,94,"Indigo Forge","Nico Valdez",2018,/images/fixtures/game_0504.png,2026-02-12T07:28:24+00:00,2026-03-26T10:29:41+00:00,"-0.9014,0.3473,-0.6293,-0.1266,0.3883,-0.3086,0.0731,0.2254"
505,"Ethereal Orbit","Ethereal Orbit frames expedition survival as a living sandbox: each scenario escalates pressure while 2–3 players teams improvise around shifting incentives. Your group manages volatile economies while chasing milestone bonuses; by chapter 4 the board can contain over 13 modular tiles. If your table likes post-game debriefs, Ethereal Orbit will spark them—nearly every finale feels earned, messy, and memorable.",,"Tile Laying|Solo",Party,63.27,2,9,98,"Clockwork Labs","Soraya Kline",1991,/images/fixtures/game_0505.png,2025-05-21T10:30:05+00:00,2026-03-26T10:29:41+00:00,"-0.1092,-0.7531,-0.3444,-0.5249,-0.9917,0.4302,-0.2076,0.371"
506,"Zoo Vadis Sharp","Zoo Vadis Sharp opens like a classic Co-op game, then quickly reveals Miniatures layers that reward long-form table memory. Mission cadence alternates between tactical crunch and narrative resolution, preventing decision fatigue while preserving competitive tension. Map states remain highly legible despite scale; by late game, up to 18 tiles and layered markers support deep positional planning. The late game stays dramatic without becoming random, making each finale feel like the natural consequence of earlier risks.",,Campaign|Dice|Miniatures|Legacy,Co-op,88.89,4,9,39,"Indigo Forge","Nico Valdez",2009,/images/fixtures/game_0506.png,2025-09-30T07:02:17+00:00,2026-03-26T10:29:41+00:00,"0.9481,-0.1611,-0.5211,-0.9684,0.9569,0.4836,-0.943,-0.3287"
507,"Ichor Pedal","Designed for brain-burner tables, Ichor Pedal channels frontier diplomacy into a ruleset that stays readable while outcomes stay unpredictable. Negotiation matters more than it first appears; temporary coalitions routinely form, fracture, and reform inside a single chapter. Economy rails are intentionally unstable: once players trigger threshold events, 9 new scoring hooks reshape optimal lines. Few designs blend Thematic and Miniatures this smoothly while remaining approachable across varied player counts.",,"Engine Building|Miniatures",Thematic,83.08,1,10,167,"Clockwork Labs","Nico Valdez",1997,/images/fixtures/game_0507.png,2026-02-28T17:04:24+00:00,2026-03-26T10:29:41+00:00,"-0.4117,-0.6849,0.9786,-0.2021,-0.822,-0.5832,0.6927,-0.9995"
508,"Harbor against Tigris and Euphrates","Harbor against Tigris and Euphrates opens like a classic Thematic game, then quickly reveals Dice layers that reward long-form table memory. Its Thematic framework encourages risky pivots, especially once table politics reshape priorities. Your group manages swingy economies while chasing milestone bonuses; by chapter 4 the board can contain over 21 modular tiles. Component design supports readability at scale: icon-first cards, layered reference boards, and phase reminders keep late-game turns moving. The late game stays dramatic without becoming random, making each finale feel like the natural consequence of earlier risks.",,Legacy|Dice,Thematic,84.71,1,7,42,"Clockwork Labs","Marcus Thorne",2022,/images/fixtures/game_0508.png,2025-03-31T23:40:55+00:00,2026-03-26T10:29:41+00:00,"0.7986,-0.7819,0.0531,0.5567,-0.2089,-0.0407,-0.1091,0.866"
509,"Ra: Expedition","Designed for newcomer-friendly tables, Ra: Expedition channels frontier diplomacy into a ruleset that stays readable while outcomes stay unpredictable. Its Deck Building framework encourages risky pivots, especially once table politics reshape priorities. By mid-campaign, 7 relic slots and rotating objectives create dense interaction where denial play is as valuable as raw points. Negotiation matters more than it first appears; temporary coalitions routinely form, fracture, and reform inside a single chapter. Veteran groups report that Ra: Expedition shines brightest after a few sessions, once subtle timing windows and bluff cues become legible.",,"Miniatures|Tile Laying|Legacy","Deck Building",37.30,3,9,118,"Indigo Forge","Nico Valdez",2021,/images/fixtures/game_0509.png,2025-11-02T15:47:51+00:00,2026-03-26T10:29:41+00:00,"0.0799,0.615,0.9011,0.7762,-0.4817,-0.8693,-0.1888,-0.1116"
510,"Forgotten Echoes","Built around Co-op systems, Forgotten Echoes pushes Dice choices across 10 linked sessions and rewards tables that enjoy arcane rivalry. Negotiation matters more than it first appears; temporary coalitions routinely form, fracture, and reform inside a single chapter. Campaign logs track table history, so failed gambits still unlock content; expect up to 7 relic-style upgrades that alter scoring priorities. Win or lose, Forgotten Echoes tends to produce table stories that reference specific gambits and betrayals for weeks afterward.",,"Legacy|Dice|Tile Laying|Solo",Co-op,76.62,2,7,85,"Arcana Works","Akira Flynn",2018,/images/fixtures/game_0510.png,2025-07-20T05:59:03+00:00,2026-03-26T10:29:41+00:00,"-0.3482,-0.1446,0.4613,-0.0894,-0.6159,0.1844,0.7939,0.6992"
511,"Ego Forgotten","Ego Forgotten frames merchant drama as a living sandbox: each scenario escalates pressure while 1–7 players teams improvise around shifting incentives. Rule overhead stays modest thanks to consistent icon grammar, even while strategic depth rises sharply after the first two plays. Economy rails are intentionally unstable: once players trigger threshold events, 4 new scoring hooks reshape optimal lines. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,"Campaign|Legacy|Engine Building|Dice",Strategy,65.23,4,8,165,"Clockwork Labs","Akira Flynn",2015,/images/fixtures/game_0511.png,2025-07-04T09:38:32+00:00,2026-03-26T10:29:41+00:00,"0.966,-0.3362,-0.6794,0.0536,-0.2683,-0.9939,0.96,0.7674"
