id,title,description,image_prompt,tags,categories,price,player_count_min,player_count_max,play_time_minutes,publisher,designer,release_year,image_url,created_at,updated_at,description_vector
1,"Scout Crimson","Scout Crimson is a newcomer-friendly Strategy title for 2–3 players that leans into Engine Building, Legacy and Miniatures and simultaneous planning play. Economy rails are intentionally unstable: once players trigger threshold events, 8 new scoring hooks reshape optimal lines. Only adaptable crews master Scout Crimson, where one public objective mutates whenever milestones are missed and long-term planning matter as much as tactical brilliance.",,"Engine Building|Legacy|Miniatures",Strategy,29.26,3,7,40,"Silver Oak Studio","Marcus Thorne",2003,/images/fixtures/game_0001.png,2026-03-19T02:04:20+00:00,2026-03-25T06:56:50+00:00,"0.4459,0.4526,-0.6439,-0.0677,-0.358,0.2565,0.5249,-0.9155"
2,"Shattered Concord","Shattered Concord is a family-plus strategy Family title for 1–6 players that leans into Miniatures and Engine Building and draft-and-resolve rounds play. By mid-campaign, 5 relic slots and rotating objectives create dense interaction where denial play is as valuable as raw points. The late game stays dramatic without becoming random, making each finale feel like the natural consequence of earlier risks.",,"Miniatures|Engine Building",Family,68.56,4,8,149,"Indigo Forge","Elliot Mercer",2013,/images/fixtures/game_0002.png,2025-03-26T22:20:22+00:00,2026-03-25T06:56:50+00:00,"-0.2518,-0.9279,0.7158,-0.5523,0.1423,-0.0112,0.2246,-0.6095"
3,"Wily Outpost","At its core, Wily Outpost is a Family design where Campaign, Legacy and Tile Laying mechanisms collide with real-time bursts pacing for 1–6 players groups. Its Family framework encourages risky pivots, especially once table politics reshape priorities. Your group manages feast-or-famine economies while chasing milestone bonuses; by chapter 5 the board can contain over 17 modular tiles. A standout mechanic tied to Legacy means even safe plans can collapse if opponents read your tempo one round ahead. Win or lose, Wily Outpost tends to produce table stories that reference specific gambits and betrayals for weeks afterward.",,"Campaign|Legacy|Tile Laying",Family,40.17,4,8,64,"Nimbus Games","Elliot Mercer",1990,/images/fixtures/game_0003.png,2025-11-29T17:02:36+00:00,2026-03-25T06:56:50+00:00,"-0.1599,0.2537,0.4191,-0.3325,-0.9037,-0.0361,0.3901,-0.0371"
4,"Abstract Outpost","Built around Family systems, Abstract Outpost pushes Tile Laying choices across 5 linked sessions and rewards tables that enjoy expedition survival. Round structure forces meaningful tradeoffs between tempo and efficiency; over 3 chapters, even small resource leaks become strategic liabilities. Few designs blend Family and Tile Laying this smoothly while remaining approachable across varied player counts.",,"Campaign|Tile Laying",Family,61.55,2,8,128,"Nimbus Games","Lena Ortiz",2010,/images/fixtures/game_0004.png,2026-02-16T05:27:17+00:00,2026-03-25T06:56:50+00:00,"0.4009,0.0923,-0.4638,0.5892,-0.8168,-0.7543,-0.3763,-0.2249"
5,"Trio: Horizon","At its core, Trio: Horizon is a Strategy design where Cards, Campaign and Miniatures mechanisms collide with draft-and-resolve rounds pacing for 2–7 players groups. Its Strategy framework encourages risky pivots, especially once table politics reshape priorities. By mid-campaign, 3 relic slots and rotating objectives create dense interaction where denial play is as valuable as raw points. Scenario goals favor adaptive teams: one mission asks for diplomatic efficiency, the next demands aggressive engine conversion under time pressure. Win or lose, Trio: Horizon tends to produce table stories that reference specific gambits and betrayals for weeks afterward.",,Cards|Campaign|Miniatures,Strategy,39.69,2,5,68,"Arcana Works","Akira Flynn",2011,/images/fixtures/game_0005.png,2026-02-16T02:47:10+00:00,2026-03-25T06:56:50+00:00,"-0.0235,0.1178,-0.7367,-0.1522,0.1677,-0.926,-0.256,-0.6868"
6,"Heat: Council","Heat: Council frames political intrigue as a living sandbox: each scenario escalates pressure while 1–7 players teams improvise around shifting incentives. Rule overhead stays modest thanks to consistent icon grammar, even while strategic depth rises sharply after the first two plays. Map states remain highly legible despite scale; by late game, up to 18 tiles and layered markers support deep positional planning. Veteran groups report that Heat: Council shines brightest after a few sessions, once subtle timing windows and bluff cues become legible.",,Solo|Miniatures,Party,25.83,4,9,110,"Silver Oak Studio","Elliot Mercer",2017,/images/fixtures/game_0006.png,2026-03-02T01:52:49+00:00,2026-03-25T06:56:50+00:00,"-0.6965,0.6979,-0.6402,0.465,0.4417,-0.4913,0.4042,-0.5983"
7,"Captivating Zoo Vadis","Built around Abstract systems, Captivating Zoo Vadis pushes Tile Laying choices across 12 linked sessions and rewards tables that enjoy city-building tension. A standout mechanic tied to Tile Laying means even safe plans can collapse if opponents read your tempo one round ahead. Action windows stay short, but consequence chains run long, especially in sessions around 125 minutes where adaptation beats scripted play. Expect repeat plays to diverge quickly: opening lines may look familiar, but midgame states rarely resolve the same way twice.",,"Tile Laying|Miniatures|Campaign",Abstract,42.48,1,5,118,"Clockwork Labs","Elliot Mercer",1994,/images/fixtures/game_0007.png,2025-09-21T20:09:58+00:00,2026-03-25T06:56:50+00:00,"-0.056,0.7313,-0.6082,0.7664,0.462,-0.4377,0.39,-0.7638"
8,"Orbit: Legacy","Orbit: Legacy blends Thematic structure with Campaign chaos, delivering 147-minute arcs where every decision compounds into later chapters. Mission cadence alternates between tactical crunch and narrative resolution, preventing decision fatigue while preserving competitive tension. Round structure forces meaningful tradeoffs between tempo and efficiency; over 5 chapters, even small resource leaks become strategic liabilities. Only adaptable crews master Orbit: Legacy, where players vote to rewrite one core rule each chapter and long-term planning matter as much as tactical brilliance.",,Legacy|Campaign,Thematic,31.21,1,8,152,"Clockwork Labs","Akira Flynn",2005,/images/fixtures/game_0008.png,2025-10-16T17:24:09+00:00,2026-03-25T06:56:50+00:00,"-0.5067,0.383,-0.7981,0.8442,0.132,0.3339,0.945,0.5236"
9,"Trio: Forge","Part campaign and part systems puzzle, Trio: Forge asks 1–7 players players to master Abstract priorities under feast-or-famine pressure. Rule overhead stays modest thanks to consistent icon grammar, even while strategic depth rises sharply after the first two plays. Round structure forces meaningful tradeoffs between tempo and efficiency; over 6 chapters, even small resource leaks become strategic liabilities. Few designs blend Abstract and Campaign this smoothly while remaining approachable across varied player counts.",,"Engine Building|Campaign|Legacy",Abstract,30.92,2,7,99,"Arcana Works","Soraya Kline",2024,/images/fixtures/game_0009.png,2026-02-22T00:16:51+00:00,2026-03-25T06:56:50+00:00,"0.2425,-0.5208,-0.1313,0.4612,0.0595,0.8261,-0.3589,0.2014"
10,"Tactical Arena","At its core, Tactical Arena is a Deck Building design where Legacy, Miniatures and Dice mechanisms collide with sequential tactical turns pacing for 2–8 players groups. Action windows stay short, but consequence chains run long, especially in sessions around 104 minutes where adaptation beats scripted play. Win or lose, Tactical Arena tends to produce table stories that reference specific gambits and betrayals for weeks afterward.",,Legacy|Miniatures|Dice,"Deck Building",64.40,1,10,37,"Indigo Forge","Lena Ortiz",2022,/images/fixtures/game_0010.png,2025-11-29T11:09:45+00:00,2026-03-25T06:56:50+00:00,"-0.8264,0.279,-0.3999,-0.4011,0.1774,-0.6182,0.762,-0.4583"
11,"Outpost without Tatari","Outpost without Tatari is a family-plus strategy Deck Building title for 1–6 players that leans into Tile Laying, Solo, Legacy and Dice and simultaneous planning play. Component design supports readability at scale: icon-first cards, layered reference boards, and phase reminders keep late-game turns moving. Economy rails are intentionally unstable: once players trigger threshold events, 6 new scoring hooks reshape optimal lines. If your table likes post-game debriefs, Outpost without Tatari will spark them—nearly every finale feels earned, messy, and memorable.",,"Tile Laying|Solo|Legacy|Dice","Deck Building",85.28,4,7,86,"Silver Oak Studio","Elliot Mercer",1990,/images/fixtures/game_0011.png,2025-06-12T23:07:25+00:00,2026-03-25T06:56:50+00:00,"-0.1404,-0.5486,0.4052,-0.9632,-0.4665,0.4517,-0.4771,-0.8819"
12,"Crimson Forge","Crimson Forge frames expedition survival as a living sandbox: each scenario escalates pressure while 1–4 players teams improvise around shifting incentives. Its Strategy framework encourages risky pivots, especially once table politics reshape priorities. Campaign logs track table history, so failed gambits still unlock content; expect up to 8 relic-style upgrades that alter scoring priorities. Mission cadence alternates between tactical crunch and narrative resolution, preventing decision fatigue while preserving competitive tension. The late game stays dramatic without becoming random, making each finale feel like the natural consequence of earlier risks.",,"Dice|Cards|Miniatures|Tile Laying",Strategy,74.62,2,6,87,"Clockwork Labs","Elliot Mercer",2001,/images/fixtures/game_0012.png,2026-03-25T06:47:58+00:00,2026-03-25T06:56:50+00:00,"-0.4383,0.049,0.6326,-0.7574,-0.0659,-0.5994,-0.3637,-0.9124"
13,"Trailblazers: Legion","Designed for newcomer-friendly tables, Trailblazers: Legion channels guild conspiracies into a ruleset that stays readable while outcomes stay unpredictable. Its Eurogame framework encourages risky pivots, especially once table politics reshape priorities. Round structure forces meaningful tradeoffs between tempo and efficiency; over 7 chapters, even small resource leaks become strategic liabilities. Because scoring vectors drift over time, tables that over-specialize early often get punished once Legacy effects begin stacking. Few designs blend Eurogame and Legacy this smoothly while remaining approachable across varied player counts.",,"Miniatures|Solo|Engine Building|Legacy",Eurogame,77.85,3,10,70,"Clockwork Labs","Marcus Thorne",2015,/images/fixtures/game_0013.png,2025-12-12T02:36:45+00:00,2026-03-25T06:56:50+00:00,"-0.5818,-0.9959,0.3365,0.1115,0.238,0.1325,0.7292,-0.386"
14,"Tigris and Euphrates of Trails","Part campaign and part systems puzzle, Tigris and Euphrates of Trails asks 2–8 players players to master Family priorities under scarce pressure. Its Family framework encourages risky pivots, especially once table politics reshape priorities. Action windows stay short, but consequence chains run long, especially in sessions around 103 minutes where adaptation beats scripted play. A standout mechanic tied to Campaign means even safe plans can collapse if opponents read your tempo one round ahead. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,Campaign|Solo,Family,29.05,1,6,84,"Silver Oak Studio","Lena Ortiz",1999,/images/fixtures/game_0014.png,2026-01-28T15:45:50+00:00,2026-03-25T06:56:50+00:00,"-0.9694,-0.9883,-0.0901,-0.8411,0.2453,-0.5545,0.6381,-0.0102"
15,"My City Dynamic","Designed for newcomer-friendly tables, My City Dynamic channels frontier diplomacy into a ruleset that stays readable while outcomes stay unpredictable. Your group manages scarce economies while chasing milestone bonuses; by chapter 7 the board can contain over 14 modular tiles. If your table likes post-game debriefs, My City Dynamic will spark them—nearly every finale feels earned, messy, and memorable.",,Miniatures|Dice|Solo|Campaign,"Deck Building",25.10,3,6,145,"Nimbus Games","Soraya Kline",2013,/images/fixtures/game_0015.png,2025-04-18T05:18:22+00:00,2026-03-25T06:56:50+00:00,"-0.5702,-0.0927,-0.304,-0.7844,0.1107,0.9458,0.0579,0.8991"
16,"Peacocks against Crown","Part campaign and part systems puzzle, Peacocks against Crown asks 2–6 players players to master Party priorities under feast-or-famine pressure. Rule overhead stays modest thanks to consistent icon grammar, even while strategic depth rises sharply after the first two plays. Economy rails are intentionally unstable: once players trigger threshold events, 4 new scoring hooks reshape optimal lines. Few designs blend Party and Miniatures this smoothly while remaining approachable across varied player counts.",,Miniatures|Cards|Solo,Party,66.25,4,6,176,"Nimbus Games","Soraya Kline",2018,/images/fixtures/game_0016.png,2025-11-10T21:05:24+00:00,2026-03-25T06:56:50+00:00,"0.6805,-0.1291,0.9391,0.8944,0.3982,-0.0059,-0.8743,0.4238"
17,"Caravan beyond My City","Caravan beyond My City frames arcane rivalry as a living sandbox: each scenario escalates pressure while 1–8 players teams improvise around shifting incentives. Because scoring vectors drift over time, tables that over-specialize early often get punished once Solo effects begin stacking. Economy rails are intentionally unstable: once players trigger threshold events, 8 new scoring hooks reshape optimal lines. If your table likes post-game debriefs, Caravan beyond My City will spark them—nearly every finale feels earned, messy, and memorable.",,Solo|Miniatures|Legacy,Party,86.47,3,9,162,"Indigo Forge","Lena Ortiz",2011,/images/fixtures/game_0017.png,2025-08-16T01:58:08+00:00,2026-03-25T06:56:50+00:00,"0.2305,0.6971,-0.7407,-0.8867,-0.1521,-0.9068,-0.6367,0.9605"
18,"Voyage under Observatory","Voyage under Observatory frames arcane rivalry as a living sandbox: each scenario escalates pressure while 2–5 players teams improvise around shifting incentives. Round structure forces meaningful tradeoffs between tempo and efficiency; over 3 chapters, even small resource leaks become strategic liabilities. Few designs blend Co-op and Engine Building this smoothly while remaining approachable across varied player counts.",,"Engine Building|Legacy|Tile Laying",Co-op,30.16,4,9,143,"Indigo Forge","Nico Valdez",1994,/images/fixtures/game_0018.png,2025-04-20T07:48:00+00:00,2026-03-25T06:56:50+00:00,"-0.9523,-0.5778,0.7787,-0.4085,0.6777,-0.5997,-0.5987,-0.8827"
19,"Inis Crowned","Part campaign and part systems puzzle, Inis Crowned asks 2–3 players players to master Deck Building priorities under predictable pressure. Your group manages predictable economies while chasing milestone bonuses; by chapter 7 the board can contain over 17 modular tiles. Expect repeat plays to diverge quickly: opening lines may look familiar, but midgame states rarely resolve the same way twice.",,"Miniatures|Engine Building|Legacy|Solo","Deck Building",50.80,3,6,119,"Nimbus Games","Lena Ortiz",2015,/images/fixtures/game_0019.png,2026-01-06T11:10:27+00:00,2026-03-25T06:56:50+00:00,"0.3714,-0.3647,-0.0101,-0.924,-0.3815,0.6897,0.1404,-0.7591"
20,"Metal Ego","Designed for newcomer-friendly tables, Metal Ego channels merchant drama into a ruleset that stays readable while outcomes stay unpredictable. Your group manages swingy economies while chasing milestone bonuses; by chapter 3 the board can contain over 15 modular tiles. Win or lose, Metal Ego tends to produce table stories that reference specific gambits and betrayals for weeks afterward.",,"Engine Building|Legacy|Campaign",Co-op,76.31,3,10,122,"Indigo Forge","Lena Ortiz",1990,/images/fixtures/game_0020.png,2025-07-05T22:33:27+00:00,2026-03-25T06:56:50+00:00,"0.4016,-0.654,0.5723,0.685,-0.3043,0.1512,0.2325,0.5924"
21,"Cunning Peacocks","Designed for mid-weight hobby tables, Cunning Peacocks channels political intrigue into a ruleset that stays readable while outcomes stay unpredictable. Round structure forces meaningful tradeoffs between tempo and efficiency; over 6 chapters, even small resource leaks become strategic liabilities. Expect repeat plays to diverge quickly: opening lines may look familiar, but midgame states rarely resolve the same way twice.",,Campaign|Cards,Eurogame,46.23,2,7,83,"Arcana Works","Marcus Thorne",2002,/images/fixtures/game_0021.png,2025-07-11T22:04:34+00:00,2026-03-25T06:56:50+00:00,"-0.6189,0.9093,-0.3954,0.1241,0.4353,-0.9247,-0.8243,0.9448"
22,"Thrilling Observatory","Thrilling Observatory blends Strategy structure with Engine Building chaos, delivering 69-minute arcs where every decision compounds into later chapters. Component design supports readability at scale: icon-first cards, layered reference boards, and phase reminders keep late-game turns moving. Action windows stay short, but consequence chains run long, especially in sessions around 69 minutes where adaptation beats scripted play. Expect repeat plays to diverge quickly: opening lines may look familiar, but midgame states rarely resolve the same way twice.",,"Miniatures|Engine Building",Strategy,56.98,4,6,46,"Indigo Forge","Lena Ortiz",2013,/images/fixtures/game_0022.png,2025-05-26T03:30:57+00:00,2026-03-25T06:56:50+00:00,"0.1402,0.6124,-0.1917,0.9767,-0.5534,0.2083,0.0259,-0.8881"
23,"Tigris and Euphrates: Comet","At its core, Tigris and Euphrates: Comet is a Thematic design where Legacy, Miniatures, Tile Laying and Cards mechanisms collide with simultaneous planning pacing for 2–7 players groups. A standout mechanic tied to Tile Laying means even safe plans can collapse if opponents read your tempo one round ahead. Campaign logs track table history, so failed gambits still unlock content; expect up to 8 relic-style upgrades that alter scoring priorities. If your group values depth with momentum, this one delivers a rare mix of sharp tactical play and evolving campaign texture.",,"Legacy|Miniatures|Tile Laying|Cards",Thematic,84.17,3,10,145,"Arcana Works","Lena Ortiz",2006,/images/fixtures/game_0023.png,2026-01-26T20:29:37+00:00,2026-03-25T06:56:50+00:00,"0.5484,-0.7085,0.5447,-0.8142,0.8538,0.9548,0.8587,-0.2436"
